lat,lng,date,crime
40.82061401,-73.9435521,1/5/15,ROBBERY
40.66599055,-73.93694593,1/5/15,ROBBERY
40.8209268,-73.94332422,1/5/15,ROBBERY
40.66550822,-73.75632739,1/5/15,ROBBERY
40.85209,-73.89881878,1/5/15,ROBBERY
40.85879209,-73.89521882,1/5/15,ROBBERY
40.69460248,-73.97312112,1/5/15,ROBBERY
40.59233618,-73.98148696,1/5/15,ROBBERY
40.65630959,-73.92321628,1/6/15,ROBBERY
40.68887215,-73.94452903,1/6/15,RAPE
40.61789402,-73.9897429,1/6/15,ROBBERY
40.85211404,-73.92703872,1/6/15,ROBBERY
40.57276173,-73.99809006,1/6/15,ROBBERY
40.86150267,-73.82425149,1/6/15,ROBBERY
40.85676556,-73.90035163,1/6/15,ROBBERY
40.63039297,-73.89500098,1/6/15,ROBBERY
40.63036655,-73.97371261,1/6/15,RAPE
40.78731833,-73.97722572,1/6/15,ROBBERY
40.77776142,-73.97854688,1/6/15,ROBBERY
40.79949464,-73.96847367,1/6/15,ROBBERY
40.84844783,-73.92390535,1/6/15,ROBBERY
40.67265065,-73.86741406,1/6/15,ROBBERY
40.63514191,-73.94789561,1/6/15,ROBBERY
40.70622201,-73.95097436,1/6/15,RAPE
40.82015932,-73.87247098,1/6/15,ROBBERY
40.64765256,-73.91923343,1/6/15,ROBBERY
40.80174973,-73.9647595,1/6/15,ROBBERY
40.66475956,-73.89404214,1/6/15,ROBBERY
40.68250374,-73.92431104,1/6/15,ROBBERY
40.73497822,-73.88197242,1/6/15,ROBBERY
40.8981001,-73.86242839,1/6/15,ROBBERY
40.68891139,-73.98093009,1/6/15,ROBBERY
40.82885105,-73.94383419,1/6/15,RAPE
40.64465171,-73.92620615,1/6/15,ROBBERY
40.66475956,-73.89404214,1/6/15,ROBBERY
40.70749553,-73.96606091,1/6/15,ROBBERY
40.84144284,-73.85473181,1/6/15,ROBBERY
40.67534153,-73.93607907,1/6/15,ROBBERY
40.66556223,-73.87858798,1/6/15,ROBBERY
40.64180589,-73.9534323,1/6/15,ROBBERY
40.88615874,-73.86307515,1/6/15,ROBBERY
40.60195803,-73.99381105,1/6/15,ROBBERY
40.72097593,-73.98216914,1/6/15,ROBBERY
40.82721564,-73.87980702,1/6/15,ROBBERY
40.69785273,-73.94387963,1/6/15,ROBBERY
40.71339037,-73.9901286,1/6/15,ROBBERY
40.75090054,-73.85548146,1/6/15,ROBBERY
40.8231013,-73.86969046,1/7/15,RAPE
40.51180434,-74.25003459,1/7/15,ROBBERY
40.74062676,-74.00771314,1/7/15,ROBBERY
40.86118682,-73.90635708,1/7/15,ROBBERY
40.62954075,-73.90614531,1/7/15,ROBBERY
40.69166002,-73.77919852,1/7/15,ROBBERY
40.84523059,-73.86611953,1/7/15,ROBBERY
40.81471223,-73.94227461,1/7/15,ROBBERY
40.89973433,-73.84390445,1/7/15,ROBBERY
40.58610888,-73.97127823,1/7/15,ROBBERY
40.83613778,-73.88986266,1/7/15,ROBBERY
40.7019993,-73.94232532,1/7/15,ROBBERY
40.69953927,-73.91103807,1/7/15,ROBBERY
40.69831785,-73.98176047,1/7/15,ROBBERY
40.67229415,-73.97873942,1/7/15,ROBBERY
40.69040461,-73.95986019,1/7/15,ROBBERY
40.79191559,-73.94443234,1/7/15,ROBBERY
40.67843664,-73.91356108,1/7/15,ROBBERY
40.81667044,-73.88799816,1/7/15,ROBBERY
40.8119894,-73.91547567,1/7/15,ROBBERY
40.82202013,-73.85826444,1/7/15,ROBBERY
40.67452958,-73.73607708,1/7/15,ROBBERY
40.62719625,-74.02656281,1/7/15,ROBBERY
40.75771809,-73.86416938,1/7/15,ROBBERY
40.59975977,-73.74889709,1/7/15,ROBBERY
40.6131083,-73.97857458,1/7/15,ROBBERY
40.66330609,-73.89848516,1/7/15,ROBBERY
40.7557141,-73.86623808,1/7/15,ROBBERY
40.85240579,-73.83098083,1/7/15,ROBBERY
40.65871049,-73.89450588,1/7/15,ROBBERY
40.77037817,-73.89422069,1/7/15,ROBBERY
40.64181517,-73.9942902,1/8/15,ROBBERY
40.82230298,-73.85617186,1/8/15,ROBBERY
40.75072551,-73.81728201,1/8/15,ROBBERY
40.68487765,-73.94276559,1/8/15,ROBBERY
40.58036852,-73.9676051,1/8/15,ROBBERY
40.74811866,-73.89167917,1/8/15,ROBBERY
40.71219949,-73.99565488,1/8/15,ROBBERY
40.68087908,-73.97514569,1/8/15,ROBBERY
40.7019993,-73.94232532,1/8/15,ROBBERY
40.82975122,-73.87166486,1/8/15,ROBBERY
40.65840125,-73.91556935,1/8/15,ROBBERY
40.86341374,-73.91848695,1/8/15,ROBBERY
40.71933037,-73.99548125,1/8/15,ROBBERY
40.68293204,-73.96422377,1/8/15,ROBBERY
40.83732351,-73.91983076,1/8/15,ROBBERY
40.85396027,-73.90012088,1/8/15,ROBBERY
40.69056985,-73.9851053,1/8/15,ROBBERY
40.81039602,-73.92531074,1/8/15,RAPE
40.68217951,-73.83103731,1/8/15,ROBBERY
40.57719186,-74.00057021,1/8/15,ROBBERY
40.73669807,-73.98331603,1/8/15,ROBBERY
40.75400701,-73.94243189,1/8/15,ROBBERY
40.80101247,-73.94621627,1/8/15,ROBBERY
40.70043305,-73.94438958,1/8/15,ROBBERY
40.75999747,-73.87000523,1/8/15,ROBBERY
40.81573205,-73.94542041,1/8/15,RAPE
40.85152589,-73.90031249,1/8/15,ROBBERY
40.68923583,-73.98469813,1/8/15,ROBBERY
40.83517897,-73.89181569,1/8/15,ROBBERY
40.69050587,-73.95900552,1/8/15,ROBBERY
40.72725735,-73.97499129,1/8/15,ROBBERY
40.60981043,-73.76674121,1/8/15,ROBBERY
40.84544181,-73.93657344,1/8/15,ROBBERY
40.68019841,-73.8259371,1/8/15,ROBBERY
40.75686098,-73.87565666,1/9/15,RAPE
40.69546894,-73.98282508,1/9/15,RAPE
40.74061046,-73.87932091,1/9/15,ROBBERY
40.6953602,-73.91631592,1/9/15,ROBBERY
40.75085402,-73.86938785,1/9/15,ROBBERY
40.62576896,-73.99141682,1/9/15,RAPE
40.86020511,-73.89771104,1/9/15,ROBBERY
40.86778709,-73.89898652,1/9/15,ROBBERY
40.75885708,-73.98861665,1/9/15,ROBBERY
40.85498269,-73.89250283,1/9/15,ROBBERY
40.87634565,-73.85132882,1/9/15,ROBBERY
40.8294601,-73.93795456,1/9/15,ROBBERY
40.69815884,-73.79508467,1/9/15,ROBBERY
